"","mean","sd","median","min","max"
"Percent.body.fat.using.Brozek",18.9384920634921,7.75085565948173,19,0,45.1
"Age",44.8849206349206,12.6020397227179,43,22,81
"Weight",178.924404761905,29.3891598853691,176.5,118.5,363.15
"Height",70.1488095238095,3.66285578768032,70,29.5,77.75
"Neck.circumference",37.9920634920635,2.43091323401951,38,31.1,51.2
"Chest.circumference",100.824206349206,8.43047553192002,99.65,79.3,136.2
"Abdomen.circumference",92.5559523809524,10.7830768013817,90.95,69.4,148.1
"Hip.circumference",99.9047619047619,7.16405766684229,99.3,85,147.7
"Thigh.circumference",59.4059523809524,5.24995202840104,59,47.2,87.3
"Knee.circumference",38.5904761904762,2.41180458701876,38.5,33,49.1
"Ankle.circumference",23.102380952381,1.69489339817864,22.8,19.1,33.9
"Extended.biceps.circumference",32.2734126984127,3.02127375125086,32.05,24.8,45
"Forearm.circumference",28.6638888888889,2.02069116502693,28.7,21,34.9
"Wrist.circumference",18.2297619047619,0.933584928958703,18.3,15.8,21.4
